Participant,Condition,Accuracy
1,1,63.67
2,1,72.17
3,1,63.83
4,1,74.83
5,1,77.67
6,1,72.17
7,1,89.00
8,1,44.50
9,1,88.67
10,1,50.00
11,1,69.33
12,1,63.83
13,1,27.67
14,1,69.50
15,1,52.83
16,1,58.17
17,1,66.83
18,1,72.17
19,1,36.00
20,1,55.33
21,1,66.67
22,1,77.83
23,1,77.83
24,2,55.67
25,2,58.50
26,2,66.50
27,2,83.33
28,2,55.67
29,2,83.17
30,2,44.50
31,2,72.17
32,2,38.83
33,2,63.83
34,2,58.50
35,2,80.33
36,2,69.50
37,2,47.33
38,2,61.17
39,2,58.33
40,2,72.17
41,2,61.17
42,2,44.50
43,2,52.67
44,2,80.50
45,2,61.17
46,2,47.17
